Permit Type,Permit No,Issued,Address,Zip Code,Mapsco,Contractor,Value,Area,Work Description,Land Use,Latitude,Longitude,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country
Building (BU) Commercial  New Construction,1606161027,8/14/2017,2707 ROYAL LN,75229,23-E,"S & W CONSTRUCTION, INC (817) 426-4039 352 N RUDD ST., BURLESON, TX 76028",366666.67,0,NEW CONSTRUCTION,GEN MERCHANDISE OR FOOD STORE > 3500 SQ. FT.,32.895708,-96.886404,2707,Royal Ln,,,Dallas,TX,Dallas County,75229,US
Building (BU) Commercial  New Construction,1609221086,9/27/2017,2702 S BUCKNER BLVD,75227,48-Y,"Z CONSTRUCTORS (972) 682-1435 11886 Greenville Avenue, Ste 106 D, DALLAS, TX 75243",300000,0,NEW CONSTRUCTION,SHELL BUILDING,32.758187,-96.681982,2702,S Buckner Blvd,,,Dallas,TX,Dallas County,75227,US
Building (BU) Commercial  New Construction,1701121009,6/6/2017,10350 N CENTRAL EXPY,75231,26-K,"A & M DEVELOPERS (214) 395-9398 7701 LAS COLINAS RIDGE, #250, IRVING, TX 75063",250000,0,NEW CONSTRUCTION,HOTEL,32.886726,-96.768826,10350,N Central Expy,,,Dallas,TX,Dallas County,75231,US
Building (BU) Commercial  New Construction,1707131004,10/13/2017,2720 LIVE OAK ST,75204,"45-H,45-M", () - ,195000,0,NEW CONSTRUCTION GEN. MERCH AND FUEL ISLAND,GEN MERCHANDISE OR FOOD STORE > 3500 SQ. FT.,32.788903,-96.788422,2720,Live Oak St,,,Dallas,TX,Dallas County,75204,US
Building (BU) Commercial  New Construction,1610051078,3/27/2017,10905 SANDEN DR,75238,"28-A,28-B,28-E,28-F","F & K BUILDERS (214) 213-1955 1616 SHIRLEY WAY, BEDFORD, TX 76022",180000,0,NEW CONSTRUCTION,COMMERCIAL MOTOR VEHICLE PARKING,32.899882,-96.696277,10905,Sanden Dr,,,Dallas,TX,Dallas County,75238,US
Building (BU) Commercial  New Construction,1501081111,10/30/2017,875 S R L THORNTON FWY,75203,54-H,"ALARCON CONSTRUCTION GROUP (214) 402-2346 17527 OAK MOUNT PL, DALLAS, TX 75287-7532",160000,0,NEW COMMERCIAL CONSTRUCTION,SHELL BUILDING,32.741488,-96.821814,875,S R L Thornton Fwy,,,Dallas,TX,Dallas County,75203,US
Building (BU) Commercial  New Construction,1701061058,8/14/2017,4203 S LANCASTER RD,75216,65-C,"PHILLIPS MAY CORPORATION (214) 631-3331 1125 LONGPOINT AVE, DALLAS, TX 75247",100000,0,INSTALL NEW PLAYGROUND EQUIPMENT,PUBLIC OR PRIVATE SCHOOL,32.697406,-96.795805,4203,S Lancaster Rd,,,Dallas,TX,Dallas County,75216,US
Building (BU) Commercial  New Construction,1709111027,11/28/2017,8300 ELAM RD,75217,58-U,"MARK TOLOCKO (972) 839-2925 PO BOX 190343, DALLAS, TX 75219",75000,0,ALL RELATED SITE WORK,SHELL BUILDING,32.719308,-96.679077,8300,Elam Rd,,,Dallas,TX,Dallas County,75217,US
Building (BU) Commercial  New Construction,1702271232,6/14/2017,7265 W CAMP WISDOM RD,75236,61B-T,"NOVEL BUILDERS, LLC (214) 884-8810 600 S SHERMAN ST #124, RICHARDSON, TX 75081",60000,0,SITE WORK,OFFICE BUILDING,32.665867,-96.951275,7265,W Camp Wisdom Rd,,,Dallas,TX,Dallas County,75236,US
Building (BU) Commercial  New Construction,1701061056,8/14/2017,4203 S LANCASTER RD,75216,65-C,"PHILLIPS MAY CORPORATION (214) 631-3331 1125 LONGPOINT AVE, DALLAS, TX 75247",50000,0,"ADDITION OF NEW BLDG, PLAYGROUND EQUIP. & SITE WORK ",PUBLIC OR PRIVATE SCHOOL,32.697406,-96.795805,4203,S Lancaster Rd,,,Dallas,TX,Dallas County,75216,US
Building (BU) Commercial  New Construction,1703271074,7/7/2017,3734 W CLARENDON DR,75211,53-J,"ALPHA CONSTRUCTION (214) 317-5190 4121 MANGROVE, CARROLLTON, TX 75007",40000,0,NEW CONSTRUCTION,DRY CLEANING OR LAUNDRY STORE,32.73468,-96.882883,3734,W Clarendon Dr,,,Dallas,TX,Dallas County,75211,US
Building (BU) Commercial  New Construction,1709081031,10/24/2017,4406 ROSELAND AVE,75204,45-D,"ICS COMMERCIAL, LP. (214) 521-4928 3624 OAK LAWN, #325, DALLAS, TX 75067",37500,0,NEW PARKING LOT,COMMERCIAL PARKING LOT OR GARAGE,32.802791,-96.781667,4406,Roseland Ave,,,Dallas,TX,Dallas County,75204,US
Building (BU) Commercial  New Construction,1708161029,10/24/2017,4402 ROSELAND AVE,75204,45-D,"ICS COMMERCIAL, LP. (214) 521-4928 3624 OAK LAWN, #325, DALLAS, TX 75067",37500,0,NEW PARKING LOT,COMMERCIAL PARKING LOT OR GARAGE,32.802695,-96.781779,4402,Roseland Ave,,,Dallas,TX,Dallas County,75204,US
Building (BU) Commercial  New Construction,1703231079,4/3/2017,7777 FOREST LN Ste:BU D1,75251,"16-W,16-X","SPAW-GLASS CONSTRUCTRUCTION (817) 288-0890 1000 W MAGNOLIA AVE, FORT WORTH, TX 76104",30000,0,GRADING AND PRIVATE SIDE STORM WATER,COMMERCIAL PARKING LOT OR GARAGE,32.911775,-96.773229,7777,Forest Ln,Ste,BU,Dallas,TX,Dallas County,75230,US
Building (BU) Commercial  New Construction,1608171073,5/11/2017,4843 SUNNYVALE ST,75216,"66-A,66-E","CASTLE BUILDERS (214) 784-9905 2451 CROW CREEK, DALLAS, TX 75233",24000,0,NEW COMMERCIAL CONSTRUCTION,HOME IMPROVEMENT CENTER/ BLDG MATERIALS SALES YARD,32.695706,-96.773807,4843,Sunnyvale St,,,Dallas,TX,Dallas County,75216,US
Building (BU) Commercial  New Construction,1701031062,1/3/2017,7701 BANNER DR,75251,16-S,"ARCO/ MURRAY NATIONAL CONSTRUCTUON COMPANY, INC. (214) 377-6891 4849 Greenville Ave, Ste 1460, Dallas, TX 75206",0,0,SITE WORK,MINI-WAREHOUSE,32.920501,-96.774764,7701,Banner Dr,,,Dallas,TX,Dallas County,75251,US
Building (BU) Commercial  New Construction,1612151022,1/3/2017,8070 FRANKFORD RD,,"6-F,6-G,6-K","WHITING-TURNER CONTRACTING CO (469) 429-0800 2301 W PLANO #104, PLANO, TX 75075",0,0,NEW COMMERCIAL CONSTRUCTION,RETIREMENT HOUSING,0,0,,,,,,,,,
Building (BU) Commercial  New Construction,1609071096,1/3/2017,8070 FRANKFORD RD,,"6-F,6-G,6-K","WHITING-TURNER CONTRACTING CO (469) 429-0800 2301 W PLANO #104, PLANO, TX 75075",0,0,NEW COMMERCIAL CONSTRUCTION,RETIREMENT HOUSING,0,0,,,,,,,,,
Building (BU) Commercial  New Construction,1611161118,1/3/2017,8050 FRANKFORD RD,,"6-F,6-G,6-K","WHITING-TURNER CONTRACTING CO (469) 429-0800 2301 W PLANO #104, PLANO, TX 75075",0,0,NEW CONSTRUCTION OF RETIREMENT HOUSING,CONVALESCENT & NURSING HOMES & RELATED INSTITUTION,0,0,,,,,,,,,
Building (BU) Commercial  New Construction,1605111095,1/6/2017,4246 W LOVERS LN,75209,34-B,"BARROW BUILDERS GROUP (214) 755-7300 4303 W LOVERS, STE 200, DALLAS, TX 75209",0,0,NEW CONSTRUCTION OFFICE BUILDING ,OFFICE BUILDING,32.85097,-96.837766,4246,W Lovers Ln,,,Dallas,TX,Dallas County,75209,US
Building (BU) Commercial  New Construction,1605041178,1/13/2017,7035 W WHEATLAND RD,75249,71B-C,"B & M WEST CONSTRUCTION CO (863) 519-4441 BOX 949, MULBERRY , FL 33860",0,0,NEW CONSTRUCTIUON OF CONVENIENCE STORE W/ FUELING STATION,GEN MERCHANDISE OR FOOD STORE > 3500 SQ. FT.,32.647056,-96.94421,7035,W Wheatland Rd,,,Dallas,TX,Dallas County,75249,US
Building (BU) Commercial  New Construction,1512231031,1/19/2017,6474 E NORTHWEST HWY,75214,36-D,"HELKER & CRAWFORD (214) 222-0063 720 VALLEY RIDGE CIRCLE STE 1, LEWISVILLE, TX 75057",0,0,NEW CONSTRUCTION CVS PHARMACY WITH DRIVE THRU ,GEN MERCHANDISE OR FOOD STORE > 3500 SQ. FT.,32.828651,-96.745951,,,,,Dallas,TX,Dallas County,75214,US
Building (BU) Commercial  New Construction,1605201097,1/19/2017,4019 FRANKFORD RD,,4-F,"BONNER ASSOCIATES CONSTRUCTORS (214) 946-1155 737 S RL THORNTON FRWY, DALLAS, TX 75203",0,0,NEW CONSTRUCTION AUTO SERVICE CENTER ,AUTO SERVICE CENTER,0,0,,,,,,,,,
Building (BU) Commercial  New Construction,1609021142,1/23/2017,2304 W MOCKINGBIRD LN,75235,34-N,"DOUGLAS COOK ENTERPISES, LLC (504) 455-7762 125 ZINNIA  AVE, METARIRIE, LA 70001",0,0,construct new building ,RESTAURANT WITH DRIVE-IN SERVICE,32.825575,-96.846975,2304,W Mockingbird Ln,,,Dallas,TX,Dallas County,75235,US
Building (BU) Commercial  New Construction,1612281057,1/30/2017,7615 S CENTRAL EXPY,75216,56-U,"ONEJAI BUILDER LLC (214) 683-8298 1126 E 8TH ST , DALLAS, TX 75203",0,0,NEW CONSTRUCTION OF HOTEL,HOTEL,32.716155,-96.756562,7615,S Central Expy,,,Dallas,TX,Dallas County,75216,US
Building (BU) Commercial  New Construction,1701301067,1/31/2017,2303 BICKERS ST,75212,"43-H,43-M","SKILES GROUP INC (972) 644-2444 1810 N. Greenville Ave., Richardson, TX 75081",0,0,NEW CONSTRUCTION OF BASEBALL STADIUM,"PUBLIC PARK, PLAYGROUND, OR GOLF COURSE",32.787919,-96.857653,2303,Bickers St,,,Dallas,TX,Dallas County,75212,US
Building (BU) Commercial  New Construction,1412161034,2/6/2017,9835 WALNUT HILL LN,75238,27-Q,"S&B CONSTRUCTION GROUP LLC (317) 755-3334 8740 EAST 30TH STREET, INDIANAPOLIS, IN 46219",0,0,NEW CONSTRUCTION ,GEN MERCHANDISE OR FOOD STORE > 3500 SQ. FT.,32.879366,-96.716524,9835,Walnut Hill Ln,,,Dallas,TX,Dallas County,75238,US
Building (BU) Commercial  New Construction,1611221097,2/7/2017,4880 MOUNTAIN CREEK PKWY,75211,"61A-R,61B-N","VICTRON STORES LP (469) 517-2000 105 YMCA DR., WAXAHACHIE, TX 75165",0,0,NEW CONSTRUCTION OF C-STORE/GAS STATION/RESTAURANTS,GEN MERCHANDISE OR FOOD STORE < 3500 SQ. FT.,32.672562,-96.968048,4880,Mountain Creek Pkwy,,,Dallas,TX,Dallas County,75236,US
Building (BU) Commercial  New Construction,1512301066,2/9/2017,1220 W MOCKINGBIRD LN,75247,33-U,"TRANSCEND CONSTRUCTION, INC. (817) 401-3547 2105 BANCROFT CT, ARLINGTON, TX 76017",0,0,NEW CONSTRUCTION CONVENIENCE STORE AND GAS CANOPY ,Motor Vehicle Fueling Station,32.819103,-96.867568,1220,W Mockingbird Ln,,,Dallas,TX,Dallas County,75247,US
Building (BU) Commercial  New Construction,1701131168,2/9/2017,4550 WORTH ST,75246,"46-E,46-F","MART INC. (214) 721-1522 1503 PERRY RD, IRVING, TX 75060",0,0,PARKING LOT,PUBLIC OR PRIVATE SCHOOL,32.794815,-96.77066,4550,Worth St,,,Dallas,TX,Dallas County,75246,US
Building (BU) Commercial  New Construction,1610131129,2/16/2017,6505 MAPLESHADE LN,,"5-D,656-Z","M L GRAY PARTNERSHIP (214) 628-9425 1811 GREENVILLE AVE. #150, DALLAS, TX 75206",0,0,NEW CONSTRUCTION OF OFFICE BUILDING,OFFICE BUILDING,0,0,,,,,,,,,
Building (BU) Commercial  New Construction,1702141030,2/16/2017,6010 WHISPERING CEDAR DR,75236,"61B-H,61B-M,62-E,62-J","SPRING VALLEY CONSTRUCTION CO. (214) 340-9800 10950 Alder Circle, Dallas, TX 75238",0,0,NEW CONSTRUCTION,"PRIVATE RECREATION CENTER, CLUB OR AREA",32.68801,-96.927577,6010,Whispering Cedar Dr,,,Dallas,TX,Dallas County,75236,US
Building (BU) Commercial  New Construction,1611011093,2/21/2017,1550 STOREY LN,75220,33-A,"MCRIGHT-SMITH CONSTRUCTION, LLC (972) 608-8988 6900 N DALLAS PKWY #770, PLANO, TX 75024",0,0,NEW CONSTRUCTION OF 3 BUILDINGS FOR STORAGE USE,SHELL BUILDING,32.85147,-96.886997,1550,Storey Ln,,,Dallas,TX,Dallas County,75220,US
Building (BU) Commercial  New Construction,1612201131,2/21/2017,9655 WEBB CHAPEL RD,75220,"23-U,23-Y,23-Z","RELIABLE PAVING (817) 467-0779 1903 N PEYCO, ARLINGTON, TX 76001",0,0,NEW COMMERCIAL CONSTRUCTION,SHELL BUILDING,32.86538,-96.863538,9655,Webb Chapel Rd,,,Dallas,TX,Dallas County,75220,US
Building (BU) Commercial  New Construction,1605121120,2/22/2017,506 N ST PAUL ST,75201,45-L,"SCHWOB BUILDING COMPANY (972) 243-7674 2349 GLENDA LN, DALLAS, TX 75229",0,0,SITE WORK,COMMERCIAL PARKING LOT OR GARAGE,32.784536,-96.798013,506,N St Paul St,,,Dallas,TX,Dallas County,75201,US
Building (BU) Commercial  New Construction,1702221042,2/22/2017,2013 JACKSON ST,75201,"45-L,45-Q","TRIARC CONSTRUCTION, LLC (512) 657-7796 3001 BOOKHOUT ST, DALLAS, TX 75201",0,0,GRADING ONLY,COMMERCIAL PARKING LOT OR GARAGE,32.780444,-96.793672,2013,Jackson St,,,Dallas,TX,Dallas County,75201,US
Building (BU) Commercial  New Construction,1611081065,3/1/2017,2303 BICKERS ST,75212,"43-H,43-M","SKILES GROUP INC (972) 644-2444 1810 N. Greenville Ave., Richardson, TX 75081",0,0,NEW CONSTRUCTION OF BASEBALL STADIUM,"PUBLIC PARK, PLAYGROUND, OR GOLF COURSE",32.787919,-96.857653,2303,Bickers St,,,Dallas,TX,Dallas County,75212,US
Building (BU) Commercial  New Construction,1607261018,3/2/2017,7037 TWIN HILLS AVE,75231,26-P,"CARLISLE BUILDERS (469) 446-9095 7979 INWOOD RD, SUITE 225, DALLAS, TX 75209",0,0,NEW CONSTRUCTION OFFICE SHOWROOM/WAREHOUSE W/2 LIVING UNITS HELL ONLY- CO REQ'D BEFORE OCCUPANCY  ,SHELL BUILDING,32.875107,-96.764734,7037,Twin Hills Ave,,,Dallas,TX,Dallas County,75231,US
Building (BU) Commercial  New Construction,1701131096,3/7/2017,2545 RANCH TRL,75019,"11A-K,11A-M,11A-N,11A-P,11A-Q,11A-R","NORTHSTAR BUILDERS GROUP (972) 745-6900 270 NORTH DENTON TAP, SUITE 250, COPPELL, TX 75019",0,0,,PUBLIC OR PRIVATE SCHOOL,32.931572,-96.969602,2545,Ranch Trl,,,Coppell,TX,Dallas County,75019,US
Building (BU) Commercial  New Construction,1604181133,3/10/2017,1830 ROYAL LN,75229,22-F,"HC BECK CONTRACTORS (214) 303-6416 1807 ROSS AVE., STE 500, DALLAS, TX 75201",0,0,RENOVATION OF EXISTING BUILDING AND ADDING A NEW BUILDING ,MUSEUM,32.89549,-96.918058,1830,Royal Ln,,,Dallas,TX,Dallas County,75229,US
Building (BU) Commercial  New Construction,1611071042,3/13/2017,5770 ABRAMS RD,75214,36-D,"BENGE GENERAL CONTRACTING LLC (214) 789-9520 4540 Ross Ave, Suite 140, Dallas, TX 75204",0,0,NEW CONSTRUCTION OF SALON,PERSONAL SERVICE USE,32.855324,-96.750812,5770,Abrams Rd,,,Dallas,TX,Dallas County,75214,US
Building (BU) Commercial  New Construction,1611211008,3/20/2017,3121 DALLAS FT WORTH TPKE,75212,43-U,"CARLISLE BUILDERS (469) 446-9095 7979 INWOOD RD, SUITE 225, DALLAS, TX 75209",0,0,,SHELL BUILDING,32.781246,-96.878831,,,,,Dallas,TX,Dallas County,75212,US
Building (BU) Commercial  New Construction,1702241144,3/20/2017,3111 DALLAS FT WORTH TPKE,75212,43-U,"CARLISLE BUILDERS (469) 446-9095 7979 INWOOD RD, SUITE 225, DALLAS, TX 75209",0,0,NEW COMMERCIAL CONSTRUCTION,SHELL BUILDING,32.781246,-96.878831,,,,,Dallas,TX,Dallas County,75212,US
Building (BU) Commercial  New Construction,1702241133,3/20/2017,3101 DALLAS FT WORTH TPKE,75212,43-U,"CARLISLE BUILDERS (469) 446-9095 7979 INWOOD RD, SUITE 225, DALLAS, TX 75209",0,0,,SHELL BUILDING,32.781246,-96.878831,,,,,Dallas,TX,Dallas County,75212,US
Building (BU) Commercial  New Construction,1612281127,3/21/2017,3130 W MOCKINGBIRD LN,75235,34-K,"23 TRITON LLC. (972) 474-4077 3415 CUSTER RD #102, PLANO, TX 75023",0,0,NEW CONSTRUCTION OF RESTAURANT,RESTAURANT WITHOUT DRIVE-IN SERVICE,32.833049,-96.837723,3130,W Mockingbird Ln,,,Dallas,TX,Dallas County,75235,US
Building (BU) Commercial  New Construction,1612091037,3/22/2017,8121 WALNUT HILL LN,75231,"26-K,26-P","CORE CONSTRUCTION SERVICES OF TEXAS INC (972) 668-9340 10625 N COUNTY RD, FRISCO, TX 75034",0,0,NEW CONSTRUCTION OF 2 SHELL BLDG,SHELL BUILDING,32.880769,-96.767263,8121,Walnut Hill Ln,,,Dallas,TX,Dallas County,75231,US
Building (BU) Commercial  New Construction,1702221068,3/27/2017,9655 AUDELIA RD,75238,27-Q,"J & K PROJECT MANAGEMENT CONSULTANTS LLC (972) 436-1144 350 MCDONNELL ST, LEWISVILLE, TX 75057",0,0,NEW CONSTRUCTION RETAIL,RESTAURANT WITH DRIVE-IN SERVICE,32.877703,-96.718469,9655,Audelia Rd,,,Dallas,TX,Dallas County,75238,US
Building (BU) Commercial  New Construction,1704031126,4/3/2017,3010 N WESTMORELAND RD,75212,"43-K,43-L,43-P,43-Q","MSCS LTD (817) 538-8442 206 SHELBY RD, EVERMAN, TX 76140",0,0,,GEN MERCHANDISE OR FOOD STORE > 3500 SQ. FT.,32.781176,-96.871688,3010,N Westmoreland Rd,,,Dallas,TX,Dallas County,75212,US
Building (BU) Commercial  New Construction,1609281085,4/3/2017,3010 N WESTMORELAND RD,75212,"43-K,43-L,43-P,43-Q","MSCS LTD (817) 538-8442 206 SHELBY RD, EVERMAN, TX 76140",0,0,,GEN MERCHANDISE OR FOOD STORE > 3500 SQ. FT.,32.781176,-96.871688,3010,N Westmoreland Rd,,,Dallas,TX,Dallas County,75212,US
Building (BU) Commercial  New Construction,1702271243,4/5/2017,2722 N FITZHUGH AVE,75206,"35-V,35-Z","JLB BUILDERS LLC (214) 395-1726 3890 W. Northwest Highway , Seventh Floor, Dallas, TX 75220",0,0,SHELL BUILDING,SHELL BUILDING,32.81475,-96.785761,2722,N Fitzhugh Ave,,,Dallas,TX,Dallas County,75204,US
Building (BU) Commercial  New Construction,1610181047,4/6/2017,7898 SAMUELL BLVD,75227,"48-G,48-L","TAURUS COMMERCIAL INC. (972) 243-5444 12200 FORD RD , STE 492, FARMERS BRANCH, TX 75234",0,0,NEW CONSTRUCTION OF PRIVATE SCHOOL,PUBLIC OR PRIVATE SCHOOL,32.789906,-96.676741,7890,Samuell Blvd,,,Dallas,TX,Dallas County,75228,US
Building (BU) Commercial  New Construction,1703241143,4/14/2017,3440 DUNCANVILLE RD,75236,"52-Y,62-C","CHA  TECH  SERVICES LLC (678) 954-5000 3 WINNERS CIRCLE, ABANY, NY 30024",0,0,FOUNDATION ONLY,WAREHOUSE,32.700085,-96.908585,3440,Duncanville Rd,,,Dallas,TX,Dallas County,75236,US
Building (BU) Commercial  New Construction,1612201078,4/14/2017,800 N HARWOOD ST,75201,"45-K,45-L","AUSTIN COMMERCIAL LP (214) 443-5700 3535 TRAVIS ST , DALLAS , TX 75203",0,0,NEW CONSTRUCTION OF PARKING GARAGE,COMMERCIAL PARKING LOT OR GARAGE,32.785963,-96.798278,800,N Harwood St,,,Dallas,TX,Dallas County,75201,US
Building (BU) Commercial  New Construction,1611141066,4/21/2017,9215 MIDWAY RD,75220,24-X,"GLR INC. (937) 890-0510 3795 WYSE RD, DAYTON, OH 45414",0,0,NEW CONSTRUCTION OF PHARMACY WITH DRIVE THRU,GEN MERCHANDISE OR FOOD STORE > 3500 SQ. FT.,32.86456,-96.837287,9215,Midway Rd,,,Dallas,TX,Dallas County,75220,US
Building (BU) Commercial  New Construction,1704261037,4/27/2017,3000 OLYMPUS BLVD,75019,"11A-K,11A-L,11A-M,11A-P,11A-Q,11A-R","BALFOUR BEATTY CONSTRUCTION LLC (214) 451-1864 3100 MCKINNON , 7th FLOOR, DALLAS, TX 75201",0,0,MASS GRADING ONLY,SHELL BUILDING,32.933805,-96.983027,3000,Olympus Blvd,,,Coppell,TX,Dallas County,75019,US
Building (BU) Commercial  New Construction,1612231008,5/1/2017,2503 W MOCKINGBIRD LN,75235,"34-N,34-P","MAPP CONSTRUCTION (214) 267-0700 3131 TURTLE CREEK BLVD, DALLAS, TX 75226",0,0,NEW CONSTRUCTION OF RESTAURANT,GEN MERCHANDISE OR FOOD STORE < 3500 SQ. FT.,32.828621,-96.844636,2503,W Mockingbird Ln,,,Dallas,TX,Dallas County,75235,US
Building (BU) Commercial  New Construction,1703281028,5/2/2017,2200 N ST AUGUSTINE DR Ste:BU 2,75227,59-B,"WHITING-TURNER CONTRACTING CO (469) 429-0800 2301 W PLANO #104, PLANO, TX 75075",0,0,NEW CONSTRUCTION OF GYM,PUBLIC OR PRIVATE SCHOOL,32.75069,-96.656727,2200,N St Augustine Dr,Ste,BU,Dallas,TX,Dallas County,75227,US
Building (BU) Commercial  New Construction,1609071120,5/3/2017,3100 OLYMPUS BLVD,75019,"11A-K,11A-L,11A-M,11A-P,11A-Q,11A-R","BALFOUR BEATTY CONSTRUCTION LLC (214) 451-1864 3100 MCKINNON , 7th FLOOR, DALLAS, TX 75201",0,0,NEW CONSTRUCTION SHELL BLDG  & PARKING GARAGE ,SHELL BUILDING,32.934744,-96.984579,3100,Olympus Blvd,,,Coppell,TX,Dallas County,75019,US
Building (BU) Commercial  New Construction,1704281013,5/3/2017,7777 FOREST LN Ste:BU D1,75251,"16-W,16-X","SPAW-GLASS CONSTRUCTRUCTION (817) 288-0890 1000 W MAGNOLIA AVE, FORT WORTH, TX 76104",0,0,FOUNDATION ONLY,COMMERCIAL PARKING LOT OR GARAGE,32.911775,-96.773229,7777,Forest Ln,Ste,BU,Dallas,TX,Dallas County,75230,US
Building (BU) Commercial  New Construction,1703271058,5/9/2017,1515 KNOXVILLE ST,75211,"52-F,52-G,52-H,52-K,52-L,52-M,52-Q","M L GRAY PARTNERSHIP (214) 628-9425 1811 GREENVILLE AVE. #150, DALLAS, TX 75206",0,0,NEW CONSTRUCTION,COUNTRY CLUB WITH PRIVATE MEMBERSHIP,32.735551,-96.905197,1515,Knoxville St,,,Dallas,TX,Dallas County,75211,US
Building (BU) Commercial  New Construction,1702231159,5/10/2017,4143 MAPLE AVE,75219,35-W,"HC BECK CONTRACTORS (214) 303-6416 1807 ROSS AVE., STE 500, DALLAS, TX 75201",0,0,NEW CONSTRUCTION OF OFFICE BUILDING WITH GARAGE,OFFICE BUILDING,32.805004,-96.81601,4143,Maple Ave,,,Dallas,TX,Dallas County,75219,US
Building (BU) Commercial  New Construction,1703221006,5/12/2017,3800 CEDARDALE RD,75241,76-G,"FCL BUILDERS (469) 446-5635 7929 BROOKRIVER DR, SUITE# 630, DALLAS, TX 75247",0,0,NEW CONSTRUCTION OF SHELL BUILDING,SHELL BUILDING,32.637562,-96.759918,3800,Cedardale Rd,,,Dallas,TX,Dallas County,75241,US
