permitnumber,worktype,permittypedescr,description,comments,applicant,declared_valuation,total_fees,issued_date,expiration_date,status,owner,occupancytype,sq_feet,property_id,parcel_id,Latitude,Longitude,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country
ERT784650,ERECT,Erect/New Construction,Erect,The project consists of construction of two five story high  new;398 Residential units  refer to as building two and three. Building two has maximum footprint of 28 200 sf and building three has 37 500 sf. The first floor consists of parking in building two and residential units in building three.and residential and amenity spaces on the second floor thru. 5th floors.In conjunction with ALT786977,ahmed nur,60882300,625495,6/12/2018 15:36, ,Open,STEWARD  ST  ELIZABETHS,Multi,65700,423157,2101833000,42.347731,-71.146606,181,Washington St,,,Brighton,MA,Suffolk County,2135,US
ERT826544,ERECT,Erect/New Construction,Erect,erect a 300 sf one story brick enclosure;for fire;pump*Plans indicate MEP and pump controller and pump location with hyd calcs,ahmed nur,210000,2388,6/13/2018 13:58,12/13/2018 0:00,Open,CARDONA ESNEDA,VacLd,300,143475,2101889000,42.34579,-71.14633,160,Washington St,,,Brighton,MA,Suffolk County,2135,US
FND931575,ERECT,Foundation Permit,Erect,Foundation only for;an erect building G with approximately 798 542 Sq. ft.  14 stories  248 ft. high with 4 levels of below grade parking for commercial labs  offices. Approximately 237 122 gross sq. ft of building G is located in Boston  approximately 561 420 sq. ft is located in Cambridge.,ahmed nur,0,130,3/19/2019 10:03,9/19/2019 0:00,Open,,Mixed,450895,437750, ,42.372712,-71.072158,155,Austin St,,,Charlestown,MA,Suffolk County,2129,US
ERT704584,ERECT,Erect/New Construction,Erect,The pipe-fitters union to demo an existing Building and Erect a 70'000 sf pipe fitters training office  a four story 65' tall Steel framed structure. The project also includes approximately 117 parking spaces. LPR;,ahmed nur,23211500,467450,12/13/2017 13:06,6/13/2018 0:00,Open,PIPEFITTERS ASSOC,Comm,73000,54140,703517000,42.32364,-71.06258,40,Enterprise St,,,Dorchester,MA,Suffolk County,2125,US
FND727522,ERECT,Foundation Permit,Erect,The pipe-fitters union to demo an existing Building and Erect a 70'000 sf pipe fitters training office  a four story 65' tall Steel framed structure. The project also includes approximately 117 parking spaces.,ahmed nur,21500000,271,11/9/2017 13:15,5/9/2018 0:00,Open,PIPEFITTERS ASSOC,Comm,73000,54140,703517000,42.32364,-71.06258,40,Enterprise St,,,Dorchester,MA,Suffolk County,2125,US
ERT654537,ERECT,Erect/New Construction,Erect,Northeastern University -; Erect a 21 story steel-framed;Building connected to a 16 story;steel-framed Building by way of a glass-enclosed structural steel bridge. This Columbus Avenue Student Apartment complex consists of;214 Apartment-style Dormitory Rooms for;Northeastern University students.; On the;Ground Level there will be Resident;Amenity spaces ( Leasing Office / Fitness Center / Bike Room / Package Rooms etc.;) and a Retail Store.; The Upper Floors;will be all Residential Use.;;;;;;;;;; LPR,ahmed nur,106000000,1068435,4/14/2017 8:07,10/14/2017 0:00,Open,NORTHEASTERN  UNIVERSITY,Comm,315000,420858,901401000,42.337422,-71.085608,744,Columbus Ave,,,Roxbury Crossing,MA,Suffolk County,2120,US
FND673501,ERECT,Foundation Permit,Erect,Foundation Only for Northeastern University Student Apartments;in;conjunction with Erect Permit ERT654537 pending.;;Cost of foundation paid with the full permit fee on the erect permit.; Foundation cost $7 615 000.00 ; LPR,ahmed nur,0,176280,1/23/2017 11:55,7/23/2017 0:00,Open,NORTHEASTERN  UNIVERSITY,Comm,315000,420858,901401000,42.337422,-71.085608,744,Columbus Ave,,,Roxbury Crossing,MA,Suffolk County,2120,US
COO711612,ERECT,Certificate of Occupancy,Erect,Two Family DwellingErt 578081;issued 6/30/16;,Akbar Olia,303000,2515,5/23/2017 8:22, ,Closed,NORTH HARVARD STREET II,VacLd,3428,419781,2201618000,42.358861,-71.127611,68,Hooker St,,,Allston,MA,Suffolk County,2134,US
ERT774924,ERECT,Erect/New Construction,Erect,Erect a new 3 story 3 Family Dwelling.; Installation of a new Fire Sprinkler system,Alan  Brennan,650000,6779,7/16/2019 9:28,1/16/2020 0:00,Closed,DANG TAO T,VacLd,897,423595,2100422000,42.354783,-71.124727,11,Sawyer Ter,,,Allston,MA,Suffolk County,2134,US
COO671060,ERECT,Certificate of Occupancy,Erect,4 Residential UnitsERT292962 Issued 10/27/15  A581064 Issued 5/24/16,ALAN PETERSON,700000,2935,1/9/2017 9:41, ,Closed,1-7 ATWOOD SQUARE,1-4FAM,0,351497,1103536000,42.307276,-71.115689,7-Jan,Atwood Sq,,,Jamaica Plain,MA,Suffolk County,2130,US
ERT631175,ERECT,Erect/New Construction,Erect,Erect two (2);- three family residential dwelling units with seven (7) off-street parking on a vacant lot. (The other three-family residential units plans filed under ERT631196 for;13 Ruthven St)*Clarification: This is one of two;three family dwellings on one lot. Other three family is known as 13 Ruthven Street,Albert Ogiste,300000,3421,12/22/2017 8:44, ,Open,11-13 RUTHVEN STREET CONDOMINIUM TRUST,VacLd,0,119968,1203025000,42.313973,-71.092977,11,Ruthven St,,,Dorchester,MA,Suffolk County,2121,US
ERT631196,ERECT,Erect/New Construction,Erect,Erect two (2);- three family residential dwelling units with seven (7) off-street parking on a vacant lot. (The other three-family residential units plans filed under ERT631175 for 11 Ruthven Street)*Clarification: This is one of two three family dwellings on the same lot. (Other address is known as 11 Ruthven Street),Albert Ogiste,300000,3484,12/22/2017 8:44, ,Open,11-13 RUTHVEN STREET CONDOMINIUM TRUST,VacLd,3500,420767,1203025000,42.313911,-71.092892,13,Ruthven St,,,Dorchester,MA,Suffolk County,2121,US
COO907721,ERECT,Certificate of Occupancy,Erect,6 Dwelling UnitsErt438446 - 1/25/16,Alex Abelha,1200000,7185,1/14/2019 15:16, ,Closed,HBLC BUSINESS TRUST,Multi,0,55190,104971000,42.367185,-71.034299,99,Everett St,,,East Boston,MA,Suffolk County,2128,US
COO907721,ERECT,Certificate of Occupancy,Erect,6 Dwelling UnitsErt438446 - 1/25/16,Alex Abelha,1200000,7185,1/14/2019 15:16, ,Closed,HBLC BUSINESS TRUST,Multi,0,55190,104972000,42.367185,-71.034299,99,Everett St,,,East Boston,MA,Suffolk County,2128,US
COO1002756,ERECT,Certificate of Occupancy,Erect,Two ( 2 ) Family DwellingERT688806 issued 6/19/17  A22353 issued 8/21/18 and;SF767039;issued 10/13/17,Alex Abelha,524000,1635,10/16/2019 9:17, ,Closed,63-65 MCBRIDE STREET CONDOMINIUM TRUST,1-2FAM,4500,421799,1103153000,42.305869,-71.112746,65,McBride St,,,Jamaica Plain,MA,Suffolk County,2130,US
ERT688806,ERECT,Erect/New Construction,Erect,Demolish existing House.; Construct a new  3 story  Two ( 2 ) Family Dwelling with Roof Decks and Rear Decks;as shown on;drawings.,Alex Abelha,489000,65904,6/19/2017 12:34,12/19/2017 0:00,Open,63-65 MCBRIDE STREET CONDOMINIUM TRUST,1-2FAM,4500,421799,1103153000,42.305869,-71.112746,65,McBride St,,,Jamaica Plain,MA,Suffolk County,2130,US
COO947827,ERECT,Certificate of Occupancy,Erect,Two Residential UnitsERT605361 July 14  2017,Alex Albetha,515000,2575,5/9/2019 9:04, ,Closed,89 JAMAICA STREET CONDOMINIUM TRUST,Other,3958,420596,1103467000,42.309661,-71.121097,,,,,Jamaica Plain,MA,Suffolk County,2130,US
ERT750736,ERECT,Erect/New Construction,Erect,Erect new 13 story five-sided Commercial building with ground floor Restaurant and/or Retail uses ;3 Levels of;Aboveground;Parking Garage - no underground parking for 150 vehicles  the 1300sf ft of retail or restaurant space will be located in up to four courtyard shipping container 'kiosks' intended to activate the urban plaza area.,alexander macleod,58161000,1187183,4/5/2018 8:32,10/5/2018 0:00,Open,ECONOMIC DEVELOPMENT AND,VacLd,200000,421017,602674000,42.344978,-71.037679,2,Dry Dock Ave,,,Boston,MA,Suffolk County,2210,US
ERT225854,NEWCON,Erect/New Construction,New construction,Build four attached townhouses on vacant land as per plans,Alexander Siopy,850000,9125,11/1/2019 9:39,5/1/2020 0:00,Open,POLYHRONOPOULOS NICHOLAS TS,1-4FAM,0,347460,1100411000,42.321922,-71.094092,26,Vale St,,,Roxbury,MA,Suffolk County,2119,US
ERT716028,ERECT,Erect/New Construction,Erect,Construction of a new steel and wood framed 5-story building with new foundation and partially below-grade parking.(see alt 716029 for existing building application on same lot). 39 residential units and parking  see also ERT581827 for relief granted,Alyson Therrien,10906070,111890,8/31/2017 10:32, ,Open,ES JWAY LLC,Other,43620,420580,1001632000,42.325271,-71.112493,221,S Huntington Ave,,,Jamaica Plain,MA,Suffolk County,2130,US
FND963401,ERECT,Foundation Permit,Erect,FOUNDATION ONLY;   inpatient clinical building on the West Campus. The foundations scope affiliated with the BIDMC NIB project will include pre-trenching theexisting site  installation of a slurry wall and load bearing elements (LBEs)  with supportingexcavation and backfill  and respective support of excavation.;,Amy Sowersby,0,100,6/25/2019 14:47,12/25/2019 0:00,Open,BI DEACONESS MEDICAL CENTER,Other,0,437772,401961000,42.337488,-71.109723,111,Francis St,,,Boston,MA,Suffolk County,2215,US
ERT681716,ERECT,Erect/New Construction,Erect,Demolish existing Structure.; Erect a;new;Two ( 2 );Family Dwelling;per plans.,Amy Wrenn,440000,4555,10/9/2019 11:07,4/9/2020 0:00,Open,DEWEY PATRICIA,1-2FAM,3099,108807,200666000,42.37886,-71.06435,30,Pearl St,,,Charlestown,MA,Suffolk County,2129,US
COO846987,ERECT,Certificate of Occupancy,Erect,Single Family Rowhouse Dwelling with Roof DeckERT549117 issued: 3/22/17 &; ALT549105 issued: 6/22/18,Amy Wrenn,300000,2395,6/29/2018 10:10, ,Closed,WRENN JOSEPH,1-2FAM,0,131830,200611000,42.3786,-71.06545,51,Sullivan St,,,Charlestown,MA,Suffolk County,2129,US
ERT549117,ERECT,Erect/New Construction,Erect,Erect a;new 3 story Single Family Rowhouse Dwelling with Roof Deck.;;Existing Lot subdivided into 3 Lots ( see subdivision ALT549105 ) to Erect a Single Family Rowhouse on each lot ( see ERT549120 and ERT549128 ).; Building will be fully sprinkled.;;,Amy Wrenn,300000,3273,3/22/2017 11:35,9/22/2017 0:00,Open,WRENN JOSEPH,1-2FAM,0,131830,200611000,42.3786,-71.06545,51,Sullivan St,,,Charlestown,MA,Suffolk County,2129,US
COO846991,ERECT,Certificate of Occupancy,Erect,Single Family Rowhouse Dwelling;with;Roof Deck ERT549120 issued: 3/22/17 &; ALT549105 issued: 6/22/16,Amy Wrenn,300000,2345,6/29/2018 10:16, ,Closed,WRENN JOSEPH,1-2FAM,0,419760,200611000,42.378679,-71.065464,53,Sullivan St,,,Charlestown,MA,Suffolk County,2129,US
ERT549120,ERECT,Erect/New Construction,Erect,Erect a;new 3 story Single Family Rowhouse Dwelling;with;Roof Deck as per plans. Lot subdivided into 3 lots (see subdivision alt549105) to erect a single family rowhouse on each lot (see ert549117 and ert549128).; Building will be fully sprinkled.;,Amy Wrenn,300000,3273,3/22/2017 11:37,9/22/2017 0:00,Open,WRENN JOSEPH,1-2FAM,0,419760,200611000,42.378679,-71.065464,53,Sullivan St,,,Charlestown,MA,Suffolk County,2129,US
COO855147,ERECT,Certificate of Occupancy,Erect,Single Family Rowhouse Dwelling with Roof DeckERT549128 issued: 3/22/17  ALT549105 issued: 6/22/18,Amy Wrenn,300000,2335,7/23/2018 9:51, ,Closed,WRENN JOSEPH,1-2FAM,0,419761,200611000,42.378697,-71.065397,55,Sullivan St,,,Charlestown,MA,Suffolk County,2129,US
ERT549128,ERECT,Erect/New Construction,Erect,Erect a;new 3 story Single Family Rowhouse Dwelling with Roof Deck on newly created 2 041 sq ft Lot.; Existing Lot subdivided into 3 separate Lots (see subdivision alt549105) to erect a Single family house on each lot (see ert549117 and ert549120).; Building will be fully sprinkled.; ;,Amy Wrenn,300000,3273,3/22/2017 11:38,9/22/2017 0:00,Open,WRENN JOSEPH,1-2FAM,0,419761,200611000,42.378697,-71.065397,55,Sullivan St,,,Charlestown,MA,Suffolk County,2129,US
ERT876731,ERECT,Erect/New Construction,Erect,Construction of 2-family structure. 2 side-by-side townhomes. Subdivide lot;parcel ID 2000899000 of 13 200 Sq Ft. into two lots  Lot 1 of 8 000 sq. ft; and Lot 2 of 5 200 Sq. ft. Two family to be erected on Lot 1 (8 000 sq. ft) Lot;2 to remain vacant for now.;,Andreas Hwang,538795,5485,3/27/2019 11:51,9/27/2019 0:00,Closed,ORANGE INVESTMENTS LLC,1-2FAM,3991,424458,2000899000,42.281203,-71.138921,134,Orange St,,,Roslindale,MA,Suffolk County,2131,US
ERT873495,ERECT,Erect/New Construction,Erect,Construction of new single family home.,Andreas Hwang,350190,3596,4/29/2019 13:46,10/29/2019 0:00,Open,ORANGE INVESTMENTS LLC,1-2FAM,2594,105352,2000899000,42.28108,-71.13901,136,Orange St,,,Roslindale,MA,Suffolk County,2131,US
ERT814436,ERECT,Erect/New Construction,Erect,Construction of three-unit residential structure. Each unit to consist of three (3) bedrooms  two bathrooms  a kitchen and living room area  and a front porch. Underlying lots to be combined;and parking to be provided via twenty-eight unit auxiliary parking lot (See. U49814415). Sprinkler System to be installed.; combine Parcels shown as 2000660000  2000661000  2000662000  2000663000 and 2000672000. ;,Andreas Hwang,400000,8806,12/5/2019 9:33,6/5/2020 0:00,Open,WASHINGTON 9 INVESTMENTS LLC,VacLd,5275,171278,2000660000,42.276442,-71.139501,4623,Washington St,,,Roslindale,MA,Suffolk County,2131,US
ERT814443,ERECT,Erect/New Construction,Erect,Construction of three-unit residential structure. Each unit to consist of three (3) bedrooms  two bathrooms  a kitchen and living room area  and a front porch. Underlying lots to be combined;and parking to be provided via twenty-eight unit auxiliary parking lot (See. U49814415). Sprinkler System to be installed.; combine Parcels shown as 2000660000  2000661000  2000662000  2000663000 and 2000672000.,Andreas Hwang,400000,8406,12/5/2019 9:33,6/5/2020 0:00,Open,WASHINGTON 9 INVESTMENTS LLC,VacLd,5275,423797,2000661000,42.276347,-71.139606,4625,Washington St,,,Roslindale,MA,Suffolk County,2131,US
ERT814444,ERECT,Erect/New Construction,Erect,Construction of three-unit residential structure. Each unit to consist of three (3) bedrooms  two bathrooms  a kitchen and living room area  and a front porch. Underlying lots to be combined;and parking to be provided via twenty-eight unit auxiliary parking lot (See. U49814415). Sprinkler System to be installed.; combine Parcels shown as 2000660000  2000661000  2000662000  2000663000 and 2000672000.,Andreas Hwang,400000,4303,12/5/2019 9:33,6/5/2020 0:00,Closed,WASHINGTON 9 INVESTMENTS LLC,VacLd,5275,423798,2000662000,42.276269,-71.139712,4627,Washington St,,,Roslindale,MA,Suffolk County,2131,US
ERT643427,ERECT,Erect/New Construction,Erect,Erect two-family residential dwelling.,andrew  chen,458500,4697,4/18/2018 11:07,10/18/2018 0:00,Open,CHEN ANDREW TS,1-2FAM,2790,420872,1100581000,42.325098,-71.095329,,,,,Roxbury,MA,Suffolk County,2119,US
COO802946,NEWCON,Certificate of Occupancy,New construction,Two Hundred (200) Residential Units &; Garage(per plans)ERT538674 issued: 12/29/15,Andrew Bosco,54692912,8865,4/5/2018 15:54, ,Closed,TRINITY BORDER STREET LLC,Multi,0,419352,105414000,42.373584,-71.041148,126,Border St,,,East Boston,MA,Suffolk County,2128,US
COO806878,NEWCON,Certificate of Occupancy,New construction,Two Hundred (200) Residential Units &; GarageTemporary Certificate for 200 Residential Units and Garage pending completion of Art. 37 process.ERT538674 issued: 12/29/15Temporary to expire 6/3/18,Andrew Bosco,0,740,3/5/2018 9:29, ,Closed,TRINITY BORDER STREET LLC,Multi,0,419352,105414000,42.373584,-71.041148,126,Border St,,,East Boston,MA,Suffolk County,2128,US
ERT892073,ERECT,Erect/New Construction,Erect,Home 2 South Bay -; Construct a new  5 story Hotel featuring 130 Guest Rooms  Guest Fitness Center  and all associated Public spaces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;LPR,Andrew Cogliano,25500000,259078,1/24/2019 10:52, ,Open,SERT LOTS 4 & 18 LLC A MASS ,Comm,80700,421287,703441005,42.325846,-71.060556,15,Jan Karski Way,,,Dorchester,MA,Suffolk County,2125,US
ERT892073,ERECT,Erect/New Construction,Erect,Home 2 South Bay -; Construct a new  5 story Hotel featuring 130 Guest Rooms  Guest Fitness Center  and all associated Public spaces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;LPR,Andrew Cogliano,25500000,259078,1/24/2019 10:52, ,Open,SOUTHEAST REALTY TRUST,Comm,80700,421287,703441001,42.325846,-71.060556,15,Jan Karski Way,,,Dorchester,MA,Suffolk County,2125,US
ERT712869,ERECT,Erect/New Construction,Erect,Raze existing building  combine lots and erect a mixed-use structure consisting of retail on the first floor  37 units on the above floors and parking for 30 vehicles. See ALT712862 for combining lots. Building to be razed on separate permit.;,Andrew Riggi,8244000,86248,10/7/2019 8:26, ,Open,TWO  EIGHTY SEVEN  MAVERICK LLC,Comm,12470,93038,105269000,42.367298,-71.032964,287-293,Maverick St,,,Boston,MA,Suffolk County,2128,US
COO763035,ERECT,Certificate of Occupancy,Erect,Two (2) Family Dwelling;ERT305518 issued: 12/12/13,Andy Duong,250000,145,10/20/2017 15:40, ,Closed,HOME RECONSTRUCTION LLC,1-2FAM,0,78824,1500695000,42.300381,-71.067424,10,Iowa St,,,Dorchester Center,MA,Suffolk County,2124,US
COO763042,ERECT,Certificate of Occupancy,Erect,Two (2) Family Dwelling ERT459129 issued: 6/1/15,Andy Duong,175000,125,10/19/2017 11:15, ,Closed,NGUYEN SINH,1-2FAM,0,140775,1600779000,42.298836,-71.064262,5,Vinson St,,,Dorchester Center,MA,Suffolk County,2124,US
COO910049,ERECT,Certificate of Occupancy,Erect,3 Residential UnitsERT305105 Issued 4/29/14,Andy Duong,325000,765,1/9/2019 10:58, ,Closed,HOME RECONSTRUCTION LLC,1-3FAM,0,351652,1400519000,42.311352,-71.078354,23-25,Normandy St,,,Boston,MA,Suffolk County,2121,US
COO910053,ERECT,Certificate of Occupancy,Erect,3 Residential Units.ERT305105 Issued 4/29/14,Andy Duong,325000,765,1/10/2019 10:05, ,Closed,HOME RECONSTRUCTION LLC,1-3FAM,0,352558,1400521000,42.311175,-71.078525,27,Normandy St,,,Dorchester,MA,Suffolk County,2121,US
COO763051,NEWCON,Certificate of Occupancy,New construction,Three (3) Family; DwellingERT429119 issued: 4/8/16,Andy Duong,450000,36,10/20/2017 15:41, ,Closed,FIRST SUFFOLK LLC MASS LLC,1-3FAM,0,123113,1202920000,42.316293,-71.080532,51,Savin St,,,Roxbury,MA,Suffolk County,2119,US
COO763060,NEWCON,Certificate of Occupancy,New construction,Three Family DwellingCOO for Three Family DwellingERT429130 issued 4/8/2016,Andy Duong,450000,35,10/20/2017 15:43, ,Closed,FIRST SUFFOLK LLC,1-3FAM,3750,123114,1202921000,42.316215,-71.080414,53,Savin St,,,Roxbury,MA,Suffolk County,2119,US
